timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1718582400000,66676.86000000,67298.81000000,64060.00000000,64974.37000000,89797.06671000,1718841599999,5874934986.74218720,4772789,44083.08972000,2884525811.43350450,0
1718841600000,64974.37000000,66482.94000000,63379.35000000,64262.01000000,57567.81015000,1719100799999,3720464939.21519430,3208136,28128.42939000,1817692577.36326690,0
1719100800000,64262.01000000,64521.00000000,58402.00000000,61806.01000000,91575.05222000,1719359999999,5622603294.77356610,4061027,43830.35850000,2691390481.57147310,0
1719360000000,61806.01000000,62487.81000000,60063.00000000,60427.84000000,65651.14349000,1719619199999,4028294190.16501990,3653954,33394.83061000,2049090132.28496610,0
1719619200000,60427.84000000,63861.76000000,60383.77000000,62899.99000000,53382.96578000,1719878399999,3322576698.70290930,3338089,26074.74166000,1623785780.61215730,0
1719878400000,62900.00000000,63288.83000000,56771.00000000,57050.01000000,105302.00278000,1720137599999,6275313321.76786520,5671424,49491.62245000,2951904564.93425250,0
1720137600000,57050.02000000,58475.00000000,53485.93000000,55857.81000000,122118.50232000,1720396799999,6844574569.42508670,6449549,58091.82435000,3257236394.99971790,0
1720396800000,55857.81000000,59470.00000000,54260.16000000,57725.85000000,100774.15077000,1720655999999,5744587518.68104690,6078778,50530.68847000,2881956705.61081110,0
1720656000000,57725.85000000,59850.00000000,56542.47000000,59204.02000000,68771.25944000,1720915199999,3989560218.28276750,5021790,34397.48924000,1996616180.64503610,0
1720915200000,59204.01000000,65388.97000000,59194.01000000,65043.99000000,102399.84642000,1721174399999,6434335836.92856030,6541296,51151.05036000,3216049860.25745290,0
1721174400000,65044.00000000,67386.00000000,63238.48000000,66660.00000000,87770.97943000,1721433599999,5703802385.10666600,5750302,43875.59153000,2852552769.32966090,0
1721433600000,66660.01000000,68474.55000000,65777.00000000,67532.01000000,57657.07928000,1721692799999,3876055039.66967410,3876175,28544.63953000,1919234938.21513360,0
1721692800000,67532.00000000,67750.98000000,63456.70000000,65799.95000000,89615.14527000,1721951999999,5881455071.01536820,4993502,42576.05607000,2795029863.60458740,0
1721952000000,65799.95000000,69399.99000000,65722.63000000,68249.88000000,66823.27338000,1722211199999,4529930331.85781740,3918783,33686.93643000,2283881824.39302160,0
1722211200000,68249.88000000,70079.99000000,64530.00000000,64628.00000000,82224.98979000,1722470399999,5521980019.48688770,5184871,40111.54374000,2696727212.28830250,0
1722470400000,64628.01000000,65659.78000000,59850.00000000,60697.99000000,102397.41358000,1722729599999,6452022479.53694720,6524547,48037.24877000,3028488274.48589250,0
1722729600000,60697.99000000,61117.63000000,49000.00000000,56022.01000000,249566.88865000,1722988799999,13574437067.30352410,12888516,119854.08081000,6520489261.68490560,0
1722988800000,56022.00000000,62745.14000000,54558.62000000,60837.99000000,123591.38650000,1723247999999,7205216701.54666430,6828355,62596.49589000,3651780414.07414600,0
1723248000000,60837.99000000,61858.00000000,57642.21000000,59346.64000000,66194.96876000,1723507199999,3946304786.71940330,4413805,32267.64971000,1923969134.10036610,0
1723507200000,59346.64000000,61800.00000000,56078.54000000,57541.06000000,93967.89799000,1723766399999,5568628025.40581230,5950685,44166.34272000,2619122149.31992620,0
1723766400000,57541.05000000,60284.99000000,57098.62000000,58427.35000000,48967.42992000,1724025599999,2885559186.83204060,3906428,24495.75388000,1443677588.22726760,0
1724025600000,58427.35000000,61820.93000000,57787.30000000,61156.03000000,82270.40019000,1724284799999,4909437605.08470880,5522339,41548.43779000,2481076450.31193020,0
1724284800000,61156.03000000,64955.00000000,59724.87000000,64157.01000000,75216.43293000,1724543999999,4680235435.92364260,5825818,38285.24398000,2383033767.76374910,0
1724544000000,64157.02000000,65000.00000000,58034.01000000,59415.00000000,66911.47431000,1724803199999,4186421584.41803350,6411187,31184.55202000,1953105113.36767040,0
1724803200000,59415.00000000,61166.99000000,57701.10000000,59123.99000000,92408.77213000,1725062399999,5481905069.69851270,9253730,44071.64501000,2615356232.70538100,0
1725062400000,59123.99000000,59462.38000000,57128.00000000,59132.13000000,52398.58102000,1725321599999,3055118401.70667170,5015243,25142.69062000,1465904459.88818690,0
1725321600000,59132.12000000,59809.65000000,55606.00000000,56180.00000000,86195.92006000,1725580799999,4940478539.14039770,8754365,40797.43657000,2339172790.25055970,0
1725580800000,56180.00000000,57008.00000000,52550.00000000,54869.95000000,87415.96379000,1725839999999,4780351434.43264230,9004296,41380.85616000,2263149567.00110390,0
1725840000000,54869.95000000,58088.00000000,54591.96000000,57338.00000000,89037.86620000,1726099199999,5034819547.51780180,10244163,44082.51440000,2493078493.48640950,0
1726099200000,57338.00000000,60625.00000000,57324.00000000,59993.03000000,73037.54865000,1726358399999,4292047395.96669760,8373560,35748.36247000,2101017290.22806590,0
1726358400000,59993.02000000,61320.00000000,57493.30000000,60313.99000000,73351.74659000,1726617599999,4349062495.86914460,8616311,35681.66530000,2115884488.65002900,0
1726617600000,60313.99000000,64133.32000000,59174.80000000,63201.05000000,95885.92871000,1726876799999,5938372391.98545220,13575251,48450.54897000,3000490762.08835490,0
1726876800000,63201.05000000,64745.88000000,62357.93000000,63339.99000000,46695.59787000,1727135999999,2957150229.05984180,7428534,23131.98755000,1465609288.45291270,0
1727136000000,63339.99000000,65839.00000000,62670.00000000,65173.99000000,69371.46520000,1727395199999,4439175763.07440330,11587021,34949.56206000,2237885253.01473530,0
1727395200000,65173.99000000,66498.00000000,64819.90000000,65602.01000000,39513.77914000,1727654399999,2596950707.19770360,6253681,19727.02030000,1296805026.55515890,0
1727654400000,65602.01000000,65618.80000000,60000.00000000,60649.28000000,105217.26978000,1727913599999,6572299981.41362550,14898863,51123.00049000,3194395531.58235760,0
1727913600000,60649.27000000,62484.85000000,59828.11000000,62058.00000000,55323.55607000,1728172799999,3386507965.65140550,10225810,27286.41488000,1670332590.42257010,0
1728172800000,62058.01000000,64478.19000000,61798.97000000,62160.49000000,54575.27068000,1728431999999,3432061394.87520300,10164333,27173.40286000,1708892980.13033530,0
1728432000000,62160.50000000,63417.56000000,58946.00000000,62540.00000000,67620.43374000,1728691199999,4142602766.37948580,10763120,32382.04198000,1985339033.89032620,0
1728691200000,62539.99000000,66500.00000000,62050.00000000,66083.99000000,60490.47333000,1728950399999,3883637356.01053800,8990943,30993.08218000,1991371845.64294740,0
1728950400000,66084.00000000,68424.00000000,64800.01000000,67421.78000000,98950.43828000,1729209599999,6620746711.99124490,15337264,49187.50314000,3292476205.44605140,0
1729209600000,67421.78000000,69400.00000000,67192.36000000,69031.99000000,49361.77615000,1729468799999,3373446958.64886100,6727192,25062.30051000,1713527585.71548720,0
